generation,genome,specie,fitness
1,0,-1,17
1,1,-1,16.9
1,2,-1,17.3
1,3,-1,17.1
1,4,-1,17
1,5,-1,16.9
1,6,-1,16.5
1,7,-1,17
1,8,-1,16.9
1,9,-1,16.5
1,10,-1,19.8
1,11,-1,17
1,12,-1,20.3
1,13,-1,16.7
1,14,-1,19.5
1,15,-1,19.7
1,16,-1,16.9
1,17,-1,16.9
1,18,-1,16.8
1,19,-1,19.4
1,20,-1,19.8
1,21,-1,16.7
1,22,-1,19.7
1,23,-1,17.1
1,24,-1,16.5
1,25,-1,19.9
1,26,-1,16.9
1,27,-1,19.8
1,28,-1,17
1,29,-1,16.9
1,30,-1,17
1,31,-1,19.9
1,32,-1,17.1
1,33,-1,16.7
1,34,-1,20
1,35,-1,16.8
1,36,-1,16.9
1,37,-1,16.8
1,38,-1,16.4
1,39,-1,16.9
1,40,-1,20
1,41,-1,17.1
1,42,-1,16.8
1,43,-1,16.6
1,44,-1,16.5
1,45,-1,16.7
1,46,-1,16.8
1,47,-1,16.7
1,48,-1,16.7
1,49,-1,16.5
1,50,-1,16.9
1,51,-1,16.8
1,52,-1,17
1,53,-1,16.8
1,54,-1,16.9
1,55,-1,16.6
1,56,-1,17.3
1,57,-1,16.8
