generation,genome,specie,fitness
1,0,-1,-93
1,1,-1,-93
1,2,-1,-86
1,3,-1,-86
1,4,-1,-86
1,5,-1,-14.6
1,6,-1,-92
1,7,-1,-16.6
1,8,-1,-92
1,9,-1,-90
1,10,-1,-86
1,11,-1,-89
1,12,-1,-86
1,13,-1,-14.6
1,14,-1,-86
1,15,-1,-86
1,16,-1,-85
1,17,-1,-90
1,18,-1,-13.4
1,19,-1,-88
2,0,0,-13.4
2,1,0,-90
2,2,0,-87
2,3,0,-13.4
2,4,0,-86
2,5,0,-13.4
2,6,0,-13.4
2,7,0,-86
2,8,0,-14.6
2,9,0,-94
2,10,0,-87
2,11,0,-86
2,12,0,-93
2,13,0,-86
2,14,0,-14.6
2,15,0,-9
2,16,0,-86
2,17,0,-86
2,18,0,-86
2,19,0,-14.6
3,0,0,-9
3,1,0,-14.6
3,2,0,-13.4
3,3,0,-13.4
3,4,0,-86
3,5,0,-13.4
3,6,0,-13.4
3,7,0,-86
3,8,1,-93
3,9,1,-93
3,10,1,-93
3,11,1,-93
3,12,1,-93
3,13,1,-93
3,14,1,-93
3,15,1,-93
3,16,1,-93
3,17,1,-93
3,18,1,-93
3,19,1,-93
4,0,0,-9
4,1,0,-9
4,2,1,-93
4,3,1,-93
